date,high,low,open,volumefrom,volumeto,close,replyCount,retweetCount,likeCount,quoteCount,followersCount,listedCount,isReplied,isMentioned,charCount,mentionsCount,topics,probs,day,year,month,quarter,day_of_week,day_of_year,is_month_end,is_month_start,is_quarter_end,is_quarter_start,is_year_end,is_year_start,target,lag1,lag7,lag14,lag30,lag60,lag90,lag365
2018-01-25,11741.92,10930.34,11428.11,93317.76,1061064251.44,11175.87,,,,,,,,,,,,,25,2018,1,1,3,25,False,False,False,False,False,False,0,0.0,1.0,1.0,0.0,1.0,,
2018-01-26,11656.54,10346.86,11175.87,142350.84,1560135332.27,11104.2,,,,,,,,,,,,,26,2018,1,1,4,26,False,False,False,False,False,False,1,0.0,1.0,1.0,0.0,1.0,,
2018-01-27,11638.69,10879.2,11104.34,90873.81,1031091633.68,11459.71,1300,9641,51165,938,134459693,119975,0.0,0.0,130.0,0.0,2.0,0.5079177,27,2018,1,1,5,27,False,False,False,False,False,False,1,1.0,0.0,0.0,0.0,0.0,,
2018-01-28,12064.19,11407.94,11460.39,87917.22,1038153169.8,11767.74,19317,157867,846568,16698,1747975918,1559675,5.0,3.0,1059.0,6.0,118.0,5.4060507,28,2018,1,1,6,28,False,False,False,False,False,False,0,1.0,0.0,0.0,0.0,1.0,,
2018-01-29,11860.29,11089.52,11767.74,80713.7,920836244.04,11233.95,2804,19185,147695,1704,806758050,719850,5.0,5.0,326.0,6.0,26.0,2.9363527,29,2018,1,1,0,29,False,False,False,False,False,False,0,0.0,1.0,0.0,1.0,1.0,,
2018-01-30,11263.7,9871.21,11234.32,164072.93,1720894077.2,10107.26,,,,,,,,,,,,,30,2018,1,1,1,30,False,False,False,False,False,False,1,0.0,1.0,0.0,0.0,1.0,,
2018-01-31,10377.96,9698.13,10107.4,122260.49,1230902973.11,10226.86,2397,9755,104525,984,672298330,599875,3.0,3.0,494.0,7.0,17.0,2.676952,31,2018,1,1,2,31,True,False,False,False,False,False,0,1.0,0.0,1.0,1.0,1.0,,
2018-02-01,10280.84,8726.95,10226.86,208918.8,1964308989.29,9114.72,5467,28424,268012,4229,672298235,599875,3.0,2.0,281.0,3.0,30.0,2.2853677,1,2018,2,1,3,32,False,True,False,False,False,False,0,0.0,0.0,1.0,1.0,1.0,,
2018-02-02,9147.93,7786.2,9114.73,322596.22,2768759876.15,8870.82,4967,60776,324124,4785,537838680,479900,3.0,1.0,376.0,1.0,20.0,2.0034192,2,2018,2,1,4,33,False,False,False,False,False,False,1,0.0,1.0,1.0,1.0,1.0,,
2018-02-03,9504.37,8194.68,8872.87,139226.07,1253484523.4,9251.27,4859,25359,229330,1651,403379112,359925,1.0,0.0,169.0,0.0,12.0,1.1636674,3,2018,2,1,5,34,False,False,False,False,False,False,0,1.0,1.0,0.0,1.0,1.0,,
2018-02-04,9400.99,7889.83,9251.27,164609.06,1413207410.82,8218.05,,,,,,,,,,,,,4,2018,2,1,6,35,False,False,False,False,False,False,0,0.0,0.0,0.0,1.0,1.0,,
2018-02-05,8391.29,6627.31,8218.05,341828.54,2534149181.03,6937.08,5062,25836,139879,4155,672298480,599875,1.0,0.0,251.0,0.0,30.0,1.8698461,5,2018,2,1,0,36,False,False,False,False,False,False,1,0.0,0.0,1.0,0.0,0.0,,
2018-02-06,7932.38,5968.36,6936.43,495883.24,3397596513.74,7701.25,30914,274066,1042383,34631,1613516100,1439700,1.0,0.0,907.0,0.0,64.0,5.635019,6,2018,2,1,1,37,False,False,False,False,False,False,0,1.0,1.0,1.0,0.0,0.0,,
2018-02-07,8572.68,7208.86,7701.25,271450.37,2159765331.36,7592.72,11722,55646,326452,5398,672298370,599875,3.0,3.0,423.0,7.0,7.0,2.6559086,7,2018,2,1,2,38,False,False,False,False,False,False,1,0.0,0.0,0.0,0.0,1.0,,
2018-02-08,8643.94,7590.48,7593.78,193040.33,1594673973.51,8260.69,,,,,,,,,,,,,8,2018,2,1,3,39,False,False,False,False,False,False,1,1.0,0.0,0.0,1.0,1.0,,
2018-02-09,8743.2,7775.36,8259.26,162279.68,1348072086.15,8696.83,,,,,,,,,,,,,9,2018,2,1,4,40,False,False,False,False,False,False,0,1.0,1.0,1.0,0.0,1.0,,
2018-02-10,9081.49,8176.25,8696.83,155616.78,1348923336.33,8569.29,,,,,,,,,,,,,10,2018,2,1,5,41,False,False,False,False,False,False,0,0.0,0.0,1.0,1.0,0.0,,
2018-02-11,8573.35,7862.31,8569.32,123293.84,1013771945.88,8084.61,4413,12492,132289,980,403379088,359925,1.0,0.0,228.0,0.0,6.0,1.0903984,11,2018,2,1,6,42,False,False,False,False,False,False,1,0.0,0.0,0.0,1.0,1.0,,
2018-02-12,8997.34,8084.41,8084.61,124923.98,1085921871.17,8911.27,596,1190,13779,408,1479056788,1319725,11.0,11.0,2019.0,28.0,20.0,4.944208,12,2018,2,1,0,43,False,False,False,False,False,False,0,1.0,1.0,0.0,0.0,1.0,,
2018-02-13,8955.15,8379.35,8911.17,98632.88,853320352.71,8544.69,,,,,,,,,,,,,13,2018,2,1,1,44,False,False,False,False,False,False,1,0.0,0.0,1.0,0.0,1.0,1.0,
2018-02-14,9508.22,8542.98,8544.69,133702.54,1220863360.18,9485.64,,,,,,,,,,,,,14,2018,2,1,2,45,False,False,False,False,False,False,1,1.0,1.0,0.0,0.0,0.0,0.0,
2018-02-15,10223.58,9363.38,9485.64,168776.78,1666668487.88,10033.75,,,,,,,,,,,,,15,2018,2,1,3,46,False,False,False,False,False,False,1,1.0,1.0,0.0,0.0,0.0,1.0,
2018-02-16,10303.14,9720.38,10033.75,105556.67,1061827697.26,10188.73,315,731,13658,92,134459696,119975,1.0,1.0,179.0,1.0,3.0,0.22450319,16,2018,2,1,4,47,False,False,False,False,False,False,1,1.0,0.0,1.0,1.0,0.0,1.0,
2018-02-17,11119.45,10074.07,10188.73,123660.48,1327921168.02,11097.21,1996,3372,44169,546,268919410,239950,1.0,0.0,115.0,0.0,26.0,0.6913933,17,2018,2,1,5,48,False,False,False,False,False,False,0,1.0,0.0,0.0,1.0,0.0,1.0,
2018-02-18,11288.34,10161.01,11097.21,154431.22,1659704217.34,10417.23,1720,10457,57071,707,134459696,119975,0.0,0.0,69.0,0.0,3.0,0.31723583,18,2018,2,1,6,49,False,False,False,False,False,False,1,0.0,1.0,0.0,1.0,0.0,0.0,
2018-02-19,11265.96,10336.32,10418.12,108244.29,1186535653.61,11182.28,,,,,,,,,,,,,19,2018,2,1,0,50,False,False,False,False,False,False,1,1.0,0.0,1.0,0.0,0.0,1.0,
2018-02-20,11802.23,11130.95,11182.28,142449.23,1640343867.77,11256.43,573,8131,56540,410,134459675,119975,1.0,1.0,162.0,1.0,2.0,0.31452012,20,2018,2,1,1,51,False,False,False,False,False,False,0,1.0,1.0,0.0,0.0,1.0,0.0,
2018-02-21,11295.58,10256.21,11256.78,183274.25,1982721124.63,10481.66,883,2416,35068,355,537838744,479900,4.0,2.0,454.0,9.0,31.0,1.9681363,21,2018,2,1,2,52,False,False,False,False,False,False,0,0.0,1.0,1.0,1.0,0.0,1.0,
2018-02-22,10941.57,9757.19,10481.66,175506.26,1795951829.82,9847.96,5562,26017,233798,2374,1479056645,1319725,7.0,3.0,1189.0,9.0,26.0,4.6847286,22,2018,2,1,3,53,False,False,False,False,False,False,1,0.0,1.0,1.0,1.0,1.0,1.0,
2018-02-23,10420.67,9604.0,9847.96,139373.76,1399448203.16,10175.51,,,,,,,,,,,,,23,2018,2,1,4,54,False,False,False,False,False,False,0,1.0,1.0,0.0,0.0,1.0,1.0,
