date,high,low,open,volumefrom,volumeto,close,replyCount,retweetCount,likeCount,quoteCount,followersCount,listedCount,isReplied,isMentioned,charCount,mentionsCount,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,day,year,month,quarter,day_of_week,day_of_year,is_month_end,is_month_start,is_quarter_end,is_quarter_start,is_year_end,is_year_start,target,lag1,lag7,lag14,lag30,lag60,lag90,lag365
2018-01-05,17126.95,14832.36,15180.08,141960.42,2283988962.92,16954.78,1954,13755,79869,1428,134459667,119975,0.0,0.0,50.0,0.0,0.01333434,0.34614,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.3471701,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,0.01333434,5,2018,1,1,4,5,False,False,False,False,False,False,1,1.0,0.0,1.0,1.0,,,
2018-01-06,17252.85,16286.57,16954.76,83927.99,1412703790.73,17172.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2018,1,1,5,6,False,False,False,False,False,False,0,1.0,1.0,0.0,0.0,,,
2018-01-07,17184.81,15791.13,17174.5,79006.37,1309532650.11,16228.16,221,248,9136,42,403378950,359925,2.0,3.0,219.0,4.0,0.048086904,0.048086904,0.16072041,0.048086904,0.048086904,0.048086904,0.30411115,0.048086904,0.048086904,0.048086904,0.048086904,0.048086904,0.048086904,0.43222654,0.18359962,0.048086904,0.048086904,0.048086904,0.6374416,0.12871356,0.048086904,0.048086904,0.28762296,0.048086904,0.048086904,7,2018,1,1,6,7,False,False,False,False,False,False,0,0.0,0.0,1.0,0.0,,,
2018-01-08,16302.92,13902.31,16228.26,142453.96,2166366561.33,14976.17,711,2808,18737,201,134459696,119975,0.0,1.0,118.0,1.0,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.40004107,0.48481122,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,0.005006423,8,2018,1,1,0,8,False,False,False,False,False,False,0,0.0,1.0,1.0,1.0,,,
2018-01-09,15390.28,14221.55,14976.17,99730.65,1486802326.34,14468.5,202,211,8756,56,268919298,239950,1.0,2.0,105.0,5.0,0.023333788,0.023333788,0.22500703,0.023333788,0.023333788,0.023333788,0.023333788,0.023333788,0.023333788,0.023333788,0.023333788,0.023333788,0.28290766,0.023333788,0.023333788,0.023333788,0.023333788,0.023333788,0.023333788,0.023333788,0.6899971,0.31207865,0.023333788,0.023333788,0.023333788,9,2018,1,1,1,9,False,False,False,False,False,False,1,0.0,1.0,0.0,1.0,,,
2018-01-10,14919.49,13450.54,14468.09,142303.9,2025083791.13,14919.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2018,1,1,2,10,False,False,False,False,False,False,0,1.0,1.0,0.0,1.0,,,
2018-01-11,14979.96,12825.95,14920.36,173452.27,2373494121.74,13308.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2018,1,1,3,11,False,False,False,False,False,False,1,0.0,1.0,0.0,0.0,,,
2018-01-12,14129.08,12851.91,13308.06,102068.02,1402292716.89,13841.19,51,39,476,6,134459700,119975,1.0,1.0,256.0,2.0,0.002223144,0.13309398,0.002223144,0.002223144,0.002223144,0.002223144,0.002223144,0.002223144,0.002223144,0.002223144,0.002223144,0.39013267,0.0796711,0.002223144,0.002223144,0.002223144,0.002223144,0.10529335,0.002223144,0.002223144,0.002223144,0.24734601,0.002223144,0.002223144,0.002223144,12,2018,1,1,4,12,False,False,False,False,False,False,1,1.0,1.0,0.0,1.0,,,
2018-01-13,14595.04,13830.28,13841.19,71300.93,1021352776.21,14243.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2018,1,1,5,13,False,False,False,False,False,False,0,1.0,0.0,1.0,1.0,,,
2018-01-14,14415.67,13031.91,14244.12,81536.0,1112590573.36,13638.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2018,1,1,6,14,False,False,False,False,False,False,0,0.0,0.0,0.0,1.0,1.0,,
