,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
116,1520726400,735.01,663.58,682.3,293925.85,206098889.64,720.36,direct,
117,1520812800,739.87,678.13,720.37,293711.48,208107856.0,697.02,direct,
118,1520899200,714.19,679.19,697.0,281269.14,194913670.75,689.96,direct,
119,1520985600,703.38,586.7,689.96,512459.31,325415119.18,613.15,direct,
120,1521072000,620.43,572.11,613.15,571770.63,342311699.48,610.56,direct,
121,1521158400,626.13,585.16,610.66,363025.84,221082941.44,600.53,direct,
122,1521244800,609.94,543.28,600.53,363384.63,208843294.98,549.79,direct,
123,1521331200,559.93,454.18,549.79,1438992.5,719812876.35,537.38,direct,
124,1521417600,559.07,515.84,537.38,775671.57,418500605.22,555.55,direct,
125,1521504000,567.0,516.78,555.55,607853.22,331343470.55,557.57,direct,
126,1521590400,590.2,545.48,557.57,488509.24,277714049.38,559.91,direct,
127,1521676800,578.01,516.22,559.91,431953.84,233985932.96,539.89,direct,
128,1521763200,543.84,506.79,539.89,432407.55,225200086.3,543.83,direct,
129,1521849600,546.01,519.51,543.84,241529.67,129350391.02,520.16,direct,
130,1521936000,535.77,513.63,520.17,213514.32,111462284.91,523.01,direct,
131,1522022400,526.2,467.48,522.97,567723.19,278656813.48,486.25,direct,
132,1522108800,491.92,446.42,486.14,712309.54,328179170.99,448.78,direct,
133,1522195200,465.2,440.35,448.78,415739.15,187271233.18,445.93,direct,
134,1522281600,448.5,380.35,445.93,1162700.51,472575968.96,383.9,direct,
135,1522368000,411.17,364.99,383.96,1174101.99,450253373.58,393.82,direct,
136,1522454400,421.05,389.99,393.83,602304.03,243062846.9,394.07,direct,
137,1522540800,399.59,359.22,394.07,626777.44,236013242.51,378.85,direct,
138,1522627200,394.12,375.8,378.85,406593.03,156793473.63,384.68,direct,
139,1522713600,426.84,380.71,384.68,556809.37,223508235.85,415.93,direct,
140,1522800000,417.11,370.66,415.93,575977.98,223170178.92,378.65,direct,
141,1522886400,387.56,367.15,378.65,424333.64,160332018.27,381.36,direct,
142,1522972800,385.78,363.51,381.43,360272.94,133748822.09,370.35,direct,
143,1523059200,397.1,369.66,370.35,281003.74,108165642.16,384.98,direct,
144,1523145600,404.22,384.98,384.98,272088.6,107956653.97,400.72,direct,
145,1523232000,431.23,387.98,400.72,669097.01,271803047.82,399.02,direct,
146,1523318400,418.27,391.84,399.02,320480.46,129335600.11,415.65,direct,
147,1523404800,433.44,410.97,415.65,398311.12,167561896.24,430.42,direct,
148,1523491200,498.08,414.03,430.39,985900.0,450834363.9,493.95,direct,
149,1523577600,528.95,482.1,493.95,930496.63,470945268.74,494.96,direct,
150,1523664000,514.66,487.72,494.96,381076.96,191073028.98,502.79,direct,
151,1523750400,534.31,502.79,502.79,469221.99,243926045.87,534.15,direct,
152,1523836800,537.48,499.17,534.16,487480.43,249996040.92,511.67,direct,
153,1523923200,522.07,500.48,511.67,382492.24,195195626.75,503.03,direct,
154,1524009600,526.61,501.7,503.03,347025.84,178681435.05,525.78,direct,
155,1524096000,570.18,521.83,525.78,490680.13,267530654.45,567.25,direct,
156,1524182400,622.14,557.98,567.25,699889.46,410498449.5,617.16,direct,
157,1524268800,625.15,576.09,617.17,488613.74,294264369.95,605.17,direct,
158,1524355200,644.29,591.81,605.17,433216.48,270504773.22,621.33,direct,
159,1524441600,648.41,619.57,621.33,373097.03,238556831.22,644.13,direct,
160,1524528000,711.64,644.06,644.13,780339.81,538337384.08,703.35,direct,
161,1524614400,703.9,592.59,703.4,1413475.83,903686072.96,617.73,direct,
162,1524700800,665.97,600.35,617.62,616943.15,387845424.34,661.45,direct,
163,1524787200,686.05,640.74,661.41,486769.09,323944620.57,643.33,direct,
164,1524873600,693.47,640.09,643.12,351860.75,238423753.67,683.02,direct,
165,1524960000,698.95,665.28,683.02,317205.24,216606354.66,689.31,direct,
166,1525046400,693.63,663.28,689.31,364715.76,248315675.69,670.04,direct,
167,1525132800,674.62,628.29,670.04,544527.28,355270695.23,670.81,direct,
168,1525219200,690.86,662.13,670.81,376872.81,255558720.87,686.74,direct,
169,1525305600,787.57,685.92,686.74,798057.17,588164727.16,777.62,direct,
