,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
98,2018-02-21,11295.58,10256.21,11256.78,183274.25,1982721124.63,10481.66,direct,
99,2018-02-22,10941.57,9757.19,10481.66,175506.26,1795951829.82,9847.96,direct,
100,2018-02-23,10420.67,9604.0,9847.96,139373.76,1399448203.16,10175.51,direct,
101,2018-02-24,10528.0,9396.54,10175.51,125269.68,1244484468.57,9705.73,direct,
102,2018-02-25,9873.79,9329.44,9705.73,82430.45,793093192.66,9610.11,direct,
103,2018-02-26,10457.51,9411.82,9610.11,117416.47,1181729273.47,10326.5,direct,
104,2018-02-27,10879.38,10154.24,10326.5,99772.39,1060840699.02,10594.76,direct,
105,2018-02-28,11067.76,10303.14,10594.76,105434.79,1126074675.67,10334.44,direct,
106,2018-03-01,11090.3,10247.56,10334.44,88432.44,952472120.03,10929.37,direct,
107,2018-03-02,11191.94,10801.45,10929.37,77195.49,852908489.64,11043.12,direct,
108,2018-03-03,11530.66,11043.12,11043.12,71279.36,812200126.22,11465.36,direct,
109,2018-03-04,11539.79,11084.01,11465.36,61016.39,690727335.55,11504.42,direct,
110,2018-03-05,11694.15,11431.55,11503.94,68323.51,791471905.1,11440.73,direct,
111,2018-03-06,11441.65,10589.28,11440.33,109876.55,1210081181.36,10735.45,direct,
112,2018-03-07,10913.7,9470.73,10735.45,183060.08,1858869115.0,9928.56,direct,
113,2018-03-08,10119.21,9086.85,9928.56,154879.22,1492236089.97,9316.72,direct,
114,2018-03-09,9433.38,8393.45,9316.77,233598.15,2081621422.7,9252.76,direct,
115,2018-03-10,9518.62,8727.43,9252.76,117409.38,1084925795.69,8797.27,direct,
116,2018-03-11,9735.64,8484.32,8797.27,149877.66,1374814644.2,9544.84,direct,
117,2018-03-12,9907.41,8796.52,9543.98,152959.8,1435404200.39,9142.15,direct,
118,2018-03-13,9486.12,8856.65,9142.27,133768.47,1228556284.3,9160.12,direct,
119,2018-03-14,9360.66,7966.94,9160.12,161775.05,1385572511.72,8217.7,direct,
120,2018-03-15,8432.12,7698.47,8216.22,187365.71,1519850464.55,8268.41,direct,
121,2018-03-16,8616.63,7924.11,8267.95,129688.11,1082790136.53,8283.23,direct,
122,2018-03-17,8360.64,7765.41,8283.23,111641.32,901939422.97,7883.45,direct,
123,2018-03-18,8299.86,7318.46,7882.67,198796.34,1535519444.95,8215.4,direct,
124,2018-03-19,8725.6,8129.66,8215.5,171829.52,1447812723.08,8623.14,direct,
125,2018-03-20,9056.23,8339.8,8623.14,131959.66,1150462439.42,8920.71,direct,
126,2018-03-21,9184.51,8778.69,8920.53,109985.22,991376396.96,8911.35,direct,
127,2018-03-22,9107.0,8500.88,8911.37,116522.98,1023286566.15,8724.98,direct,
128,2018-03-23,8935.88,8307.58,8724.98,109649.39,939997284.45,8934.8,direct,
129,2018-03-24,9036.23,8515.53,8935.51,93296.24,827663165.33,8548.06,direct,
130,2018-03-25,8690.36,8395.85,8548.39,76775.64,657643520.26,8472.84,direct,
131,2018-03-26,8521.04,7869.27,8472.56,131859.97,1079038734.78,8152.2,direct,
132,2018-03-27,8226.24,7752.3,8152.18,116523.1,930754990.52,7808.48,direct,
133,2018-03-28,8117.79,7752.6,7808.42,82590.62,657712114.92,7959.78,direct,
134,2018-03-29,7983.77,6927.11,7959.78,185805.88,1379180030.3,7106.62,direct,
135,2018-03-30,7280.27,6595.26,7106.62,229837.79,1584675343.21,6853.76,direct,
136,2018-03-31,7228.4,6806.34,6853.75,129526.48,915400590.57,6943.77,direct,
137,2018-04-01,7056.22,6463.54,6943.77,131344.01,889887684.72,6835.84,direct,
138,2018-04-02,8218.66,6792.3,6835.58,106513.22,748861435.14,7074.6,direct,
139,2018-04-03,7528.97,7039.88,7074.65,122807.02,905326798.64,7434.3,direct,
140,2018-04-04,7442.42,6727.09,7434.3,123910.33,877199782.17,6815.5,direct,
141,2018-04-05,6933.66,6602.38,6815.5,114426.84,777145174.76,6790.45,direct,
142,2018-04-06,6869.53,6526.67,6790.45,90749.16,605651287.47,6634.86,direct,
143,2018-04-07,7083.85,6624.47,6634.86,81312.77,564883141.53,6917.2,direct,
144,2018-04-08,7132.03,6911.02,6917.2,60386.23,425825572.09,7049.92,direct,
145,2018-04-09,7204.28,6633.69,7049.92,130534.03,901883664.92,6789.53,direct,
146,2018-04-10,6922.84,6676.72,6789.53,62035.53,424510977.27,6871.07,direct,
147,2018-04-11,6999.37,6839.16,6871.07,64802.3,450141340.22,6977.13,direct,
148,2018-04-12,8051.95,6791.33,6977.04,197276.82,1490759969.77,7927.73,direct,
149,2018-04-13,8237.16,7758.8,7927.73,145665.26,1171435820.59,7899.11,direct,
150,2018-04-14,8195.34,7841.19,7898.74,66678.63,537286381.88,8022.51,direct,
151,2018-04-15,8437.03,8021.04,8022.51,68822.07,570527804.56,8376.73,direct,
152,2018-04-16,8430.93,7929.24,8376.73,87681.75,713471956.84,8079.77,direct,
153,2018-04-17,8187.6,7858.12,8079.77,71933.6,580880500.84,7921.63,direct,
154,2018-04-18,8246.57,7908.92,7921.65,73050.12,593500791.64,8189.96,direct,
155,2018-04-19,8321.01,8136.42,8189.92,72820.98,602099034.89,8301.82,direct,
156,2018-04-20,8945.14,8243.49,8301.82,114730.74,979994921.45,8877.08,direct,
157,2018-04-21,9047.82,8631.18,8877.15,93635.24,829073400.66,8935.72,direct,
158,2018-04-22,9043.98,8788.44,8935.85,68212.83,610183093.43,8823.36,direct,
159,2018-04-23,9025.73,8804.2,8823.46,61895.95,553892335.42,8968.25,direct,
160,2018-04-24,9741.91,8957.68,8967.86,136352.05,1276464750.74,9655.77,direct,
161,2018-04-25,9765.23,8757.06,9657.69,192797.41,1779806222.98,8873.62,direct,
162,2018-04-26,9315.13,8669.38,8873.57,111690.32,997427934.62,9282.12,direct,
163,2018-04-27,9385.87,8923.48,9289.01,82025.4,758182407.35,8938.47,direct,
164,2018-04-28,9435.9,8892.52,8938.47,83347.1,774111704.68,9351.47,direct,
165,2018-04-29,9552.67,9189.07,9349.94,68227.03,640931911.37,9407.04,direct,
166,2018-04-30,9459.81,9133.6,9407.35,61631.36,574099218.21,9248.45,direct,
167,2018-05-01,9251.66,8851.1,9248.25,74147.8,669555436.99,9077.28,direct,
168,2018-05-02,9271.62,8993.82,9077.28,57618.44,527488395.49,9232.19,direct,
169,2018-05-03,9817.19,9172.28,9232.19,90631.98,857646889.15,9745.04,direct,
170,2018-05-04,9785.15,9547.21,9746.26,68689.75,663887678.35,9699.61,direct,
171,2018-05-05,9968.85,9687.09,9700.37,68875.75,679872376.4,9845.9,direct,
